GeneID,Base-mean,log2_FC,StdErr,Wald-Stats,P-value,P-adj,chr,start,stop,strand,NA,genename
ENSMUSG00000029822,273.6287083,1.401917899,0.280195375,5.003358455,5.63E-07,3.70E-05,chr6,50293329,50456170,-,protein_coding,Osbpl3
ENSMUSG00000102719,87.11024617,-1.878498725,0.376064861,-4.995145573,5.88E-07,3.84E-05,chr1,58797782,58801623,+,TEC,Gm37760
ENSMUSG00000005973,483.0687676,1.077143133,0.21589195,4.989269547,6.06E-07,3.92E-05,chr2,105386290,105399319,-,protein_coding,Rcn1
ENSMUSG00000068129,632.4243032,1.173155003,0.236062139,4.969687259,6.71E-07,4.32E-05,chr2,150570414,150578944,+,protein_coding,Cst7
ENSMUSG00000051359,58.42648897,2.057819246,0.415613993,4.951275172,7.37E-07,4.70E-05,chr15,37366174,37792570,-,protein_coding,Ncald
ENSMUSG00000104612,126.2449167,-1.778096358,0.360031822,-4.938719997,7.86E-07,4.99E-05,chr3,131136784,131139042,+,TEC,Gm42449
ENSMUSG00000102844,77.88291149,-1.869339013,0.380029499,-4.918931336,8.70E-07,5.47E-05,chr3,52282240,52284309,+,TEC,Gm38034
ENSMUSG00000034586,489.0326548,1.091723685,0.222590123,4.904636685,9.36E-07,5.84E-05,chr11,115347706,115367756,-,protein_coding,Hid1
ENSMUSG00000045382,513.1679903,1.07121897,0.219277941,4.885210817,1.03E-06,6.37E-05,chr1,128588198,128592293,-,protein_coding,Cxcr4
ENSMUSG00000030325,66.44496981,1.996924636,0.408789641,4.884968783,1.03E-06,6.37E-05,chr6,128778484,128789215,-,protein_coding,Klrb1c
ENSMUSG00000032231,330.1001552,1.256509039,0.258589209,4.859093098,1.18E-06,7.20E-05,chr9,69453619,69491795,+,protein_coding,Anxa2
ENSMUSG00000079227,574.5553395,1.208012939,0.248903443,4.853339604,1.21E-06,7.37E-05,chr9,124121542,124132484,+,protein_coding,Ccr5
ENSMUSG00000033066,390.5590968,1.309767399,0.270037769,4.850311874,1.23E-06,7.42E-05,chr11,67455436,67688990,+,protein_coding,Gas7
ENSMUSG00000096833,20.33485472,2.269732125,0.468502038,4.84465795,1.27E-06,7.60E-05,chr6,69607274,69607828,-,IG_V_gene,Igkv4-55
ENSMUSG00000079056,41.61676961,2.135344845,0.441234176,4.839481983,1.30E-06,7.76E-05,chr2,127456497,127521370,-,protein_coding,Kcnip3
ENSMUSG00000020914,285.8599398,1.341549307,0.277317158,4.837599361,1.31E-06,7.80E-05,chr11,98992942,99024189,-,protein_coding,Top2a
ENSMUSG00000103779,423.147085,-1.098917794,0.227644359,-4.827344722,1.38E-06,8.17E-05,chr17,51766642,51771443,-,TEC,Gm36931
ENSMUSG00000046807,99.46198049,1.717001186,0.355752633,4.826390666,1.39E-06,8.17E-05,chr10,75550122,75560330,-,protein_coding,Lrrc75b
ENSMUSG00000038776,103.3551805,-1.936246051,0.401261682,-4.82539485,1.40E-06,8.18E-05,chr1,180976209,181020904,-,protein_coding,Ephx1
ENSMUSG00000024948,850.2413726,-1.021347725,0.211722252,-4.823998019,1.41E-06,8.20E-05,chr19,6341159,6355615,+,protein_coding,Map4k2
ENSMUSG00000075297,73.87904109,-1.89302934,0.393903828,-4.805816052,1.54E-06,8.84E-05,chr10,22158585,22288849,+,protein_coding,H60b
ENSMUSG00000102153,167.8680958,-1.529296472,0.318290505,-4.804719109,1.55E-06,8.84E-05,chr9,32525144,32526958,-,TEC,Gm37474
ENSMUSG00000023267,29.5143838,-2.227361499,0.464042395,-4.799909497,1.59E-06,9.00E-05,chr4,33062998,33095865,+,protein_coding,Gabrr2
ENSMUSG00000020891,35.35311849,2.231863222,0.465293235,4.796681004,1.61E-06,9.11E-05,chr11,69183931,69197843,-,protein_coding,Alox8
ENSMUSG00000053113,457.3316949,1.070197639,0.223346945,4.79163769,1.65E-06,9.30E-05,chr11,117966078,117969186,-,protein_coding,Socs3
ENSMUSG00000005198,2098.351713,1.057399834,0.221601775,4.771621685,1.83E-06,0.000101433,chr11,69733996,69758637,-,protein_coding,Polr2a
ENSMUSG00000034220,137.2825626,1.547769531,0.324613654,4.768035818,1.86E-06,0.000101937,chr1,92831644,92860779,+,protein_coding,Gpc1
ENSMUSG00000020263,280.3067232,-1.194721728,0.250531638,-4.768745926,1.85E-06,0.000101937,chr10,83600032,83648738,-,protein_coding,Appl2
ENSMUSG00000033565,19.86515027,2.23287942,0.468250285,4.768559655,1.86E-06,0.000101937,chr15,77078989,77307004,-,protein_coding,Rbfox2
ENSMUSG00000028134,170.3998467,-1.450439787,0.304956971,-4.756211283,1.97E-06,0.000107632,chr3,119718741,119783804,-,protein_coding,Ptbp2
ENSMUSG00000050310,1052.119244,-1.00206569,0.211026083,-4.748539486,2.05E-06,0.000110925,chr15,6708382,6800401,+,protein_coding,Rictor
ENSMUSG00000046668,63.02431339,-2.003418109,0.422392463,-4.743025224,2.11E-06,0.000113442,chr18,35829817,35861687,+,protein_coding,Cxxc5
ENSMUSG00000030852,67.70157471,-1.889844217,0.399173016,-4.734398718,2.20E-06,0.000117881,chr7,130577437,130764785,+,protein_coding,Tacc2
ENSMUSG00000056145,365.7307754,-1.111456368,0.235009273,-4.729414949,2.25E-06,0.000120311,chr3,107039503,107054347,+,lincRNA,AI504432
ENSMUSG00000022885,720.7149924,-1.160020978,0.245330563,-4.728399778,2.26E-06,0.000120414,chr16,23224739,23360350,+,protein_coding,St6gal1
ENSMUSG00000103089,246.0205433,-1.402735874,0.297095193,-4.721503104,2.34E-06,0.000124058,chr1,193259615,193261837,-,TEC,Gm38118
ENSMUSG00000007670,1049.683721,1.003223061,0.212747439,4.71555881,2.41E-06,0.000127212,chr17,57021057,57031507,-,protein_coding,Khsrp
ENSMUSG00000047880,225.8751629,-1.557072837,0.330397348,-4.712728019,2.44E-06,0.000128466,chr9,44511786,44561877,-,protein_coding,Cxcr5
ENSMUSG00000113313,61.41233346,-1.905071821,0.405970508,-4.692636001,2.70E-06,0.000139946,chr13,20445285,20473490,-,antisense,Gm32036
ENSMUSG00000079481,34.67009968,2.162766475,0.462244944,4.678832087,2.89E-06,0.000148608,chrX,101849384,102092055,+,protein_coding,Nhsl2
ENSMUSG00000066363,31.4112312,2.163115084,0.462411909,4.67789657,2.90E-06,0.000148692,chr12,104214543,104221129,+,protein_coding,Serpina3f
ENSMUSG00000102973,224.3656476,-1.309871906,0.280965387,-4.662040112,3.13E-06,0.000159987,chr17,51745528,51748684,-,TEC,E430014B02Rik
ENSMUSG00000080939,38.26759799,-2.079104432,0.446386285,-4.657635109,3.20E-06,0.00016216,chrX,107279014,107279962,-,processed_pseudogene,Gm9208
ENSMUSG00000097108,36.0682237,-2.115107399,0.455880377,-4.639610534,3.49E-06,0.000175583,chr10,22212652,22217241,+,lincRNA,Gm26581
ENSMUSG00000024222,327.0964835,1.126536367,0.243064616,4.634719711,3.57E-06,0.000178697,chr17,28399094,28517524,-,protein_coding,Fkbp5
ENSMUSG00000029217,180.0548725,-1.343617056,0.289988606,-4.633344298,3.60E-06,0.000178889,chr5,72755715,72868459,-,protein_coding,Tec
ENSMUSG00000026463,419.4029848,1.014333278,0.220514353,4.599851511,4.23E-06,0.000207075,chr1,133699456,133801041,-,protein_coding,Atp2b4
ENSMUSG00000097219,121.8484439,-1.679689841,0.365108002,-4.600528704,4.21E-06,0.000207075,chr11,51949881,52269514,-,lincRNA,Gm26551
ENSMUSG00000025876,107.7855392,1.714763694,0.37302964,4.59685642,4.29E-06,0.000209209,chr13,54949410,55006018,+,protein_coding,Unc5a
ENSMUSG00000076612,82.848354,1.844645037,0.401686488,4.592250656,4.38E-06,0.000213074,chr12,113285324,113288932,-,IG_C_gene,Ighg2c
ENSMUSG00000042156,338.4286478,-1.125450454,0.245157772,-4.590719042,4.42E-06,0.000213836,chr14,118875519,118925387,-,protein_coding,Dzip1
ENSMUSG00000102744,217.0117071,-1.390961179,0.303143667,-4.588455337,4.47E-06,0.000214555,chr17,51791469,51793461,-,TEC,5830444F18Rik
ENSMUSG00000038128,462.4619264,-1.032885172,0.225088384,-4.5887982,4.46E-06,0.000214555,chr18,32939040,33195767,+,protein_coding,Camk4
ENSMUSG00000109429,136.7810348,-1.544485163,0.337078259,-4.581977986,4.61E-06,0.000220488,chr7,90132491,90137629,+,TEC,Gm45223
ENSMUSG00000084760,107.1749121,-1.568969793,0.342820509,-4.57665091,4.72E-06,0.000224506,chr3,103863165,103864423,+,sense_intronic,Gm15472
ENSMUSG00000098843,87.92833928,-1.691475774,0.370168513,-4.569475021,4.89E-06,0.000230629,chr9,32709651,32711171,-,antisense,Gm27240
ENSMUSG00000095589,18.70749721,2.134290892,0.467316222,4.567123483,4.94E-06,0.000232379,chr12,115208094,115208591,-,IG_V_gene,Ighv1-55
ENSMUSG00000058773,76.38807389,1.875985286,0.411447814,4.559473218,5.13E-06,0.000238397,chr13,21779882,21780625,-,protein_coding,Hist1h1b
ENSMUSG00000030352,130.26537,1.755132875,0.385597708,4.5517202,5.32E-06,0.000245582,chr6,127961395,128143563,-,protein_coding,Tspan9
ENSMUSG00000058975,273.1319031,1.278694374,0.281702979,4.539158147,5.65E-06,0.000259744,chr7,46396496,46438704,+,protein_coding,Kcnc1
ENSMUSG00000032577,204.6621871,1.29925603,0.286524629,4.534535243,5.77E-06,0.000264047,chr9,107254926,107289877,-,protein_coding,Mapkapk3
ENSMUSG00000051166,410.5130025,-1.204195578,0.266089339,-4.525531101,6.02E-06,0.000274121,chr12,98786804,98901484,-,protein_coding,Eml5
ENSMUSG00000071203,65.70502356,1.829741657,0.40479716,4.520144495,6.18E-06,0.000280199,chr13,100211738,100246323,-,protein_coding,Naip5
ENSMUSG00000051537,33.66422798,2.057408862,0.455725579,4.514578416,6.34E-06,0.00028665,chrX,21360864,21364622,+,transcribed_processed_pseudogene,Gm5124
ENSMUSG00000024998,33.40995482,-2.093252818,0.46491115,-4.502479273,6.72E-06,0.000302408,chr19,38481120,38785030,+,protein_coding,Plce1
ENSMUSG00000030447,100.8402731,1.669761096,0.372379416,4.484031675,7.32E-06,0.000325237,chr7,55842070,55932602,+,protein_coding,Cyfip1
ENSMUSG00000028967,146.6382375,1.411308918,0.31626103,4.462481255,8.10E-06,0.000358503,chr4,150853918,150868892,+,protein_coding,Errfi1
ENSMUSG00000033849,85.36255977,-1.752728795,0.392952305,-4.460411032,8.18E-06,0.000360744,chr1,143640663,143654614,+,protein_coding,B3galt2
ENSMUSG00000031933,34.38613727,-2.052271256,0.461248205,-4.449385892,8.61E-06,0.000375904,chr9,14885813,14903949,-,protein_coding,Izumo1r
ENSMUSG00000027009,794.5869403,-1.936005676,0.435785699,-4.442563581,8.89E-06,0.000386716,chr2,79255499,79333123,+,protein_coding,Itga4
ENSMUSG00000039899,237.7823289,2.074634621,0.469042505,4.423127113,9.73E-06,0.000412442,chr5,21372641,21378374,+,protein_coding,Fgl2
ENSMUSG00000033249,49.302169,1.900024574,0.429584625,4.422934305,9.74E-06,0.000412442,chr8,105269800,105275845,+,protein_coding,Hsf4
ENSMUSG00000031996,307.9845857,1.23211552,0.278557957,4.423192684,9.73E-06,0.000412442,chr9,31149556,31211815,-,protein_coding,Aplp2
ENSMUSG00000028228,362.9024563,1.036115702,0.234369584,4.420862492,9.83E-06,0.000415052,chr4,19519253,19570108,-,protein_coding,Cpne3
ENSMUSG00000020689,346.4910471,1.288068812,0.29156428,4.417786751,9.97E-06,0.000419625,chr11,104607999,104670476,+,protein_coding,Itgb3
ENSMUSG00000094075,31.57770299,2.040054274,0.464349087,4.393363375,1.12E-05,0.000468145,chr12,115912343,115912776,-,IG_V_gene,Ighv1-80
ENSMUSG00000103774,86.26756365,-1.620048994,0.369277817,-4.387073691,1.15E-05,0.000478766,chr2,11181011,11181940,+,TEC,Gm36932
ENSMUSG00000039599,425.2029025,-1.097813902,0.250580639,-4.381080302,1.18E-05,0.00049054,chr14,20348161,20383491,+,protein_coding,Fam149b
ENSMUSG00000111971,120.2845909,-1.517713232,0.3464995,-4.380131089,1.19E-05,0.000491098,chr12,4595339,4655888,-,antisense,Gm48678
ENSMUSG00000102992,56.4459893,-1.887967729,0.431374561,-4.376632045,1.21E-05,0.000497445,chr2,11227296,11229863,+,TEC,Gm37766
ENSMUSG00000107955,23.34214932,-2.050186379,0.468821487,-4.373064023,1.23E-05,0.000502428,chr2,39178561,39182041,-,TEC,Gm44027
ENSMUSG00000037815,238.0943728,1.145075709,0.262718639,4.358562882,1.31E-05,0.000530141,chr18,35118887,35254773,+,protein_coding,Ctnna1
ENSMUSG00000109005,108.5053541,-1.486378094,0.341601523,-4.351204529,1.35E-05,0.000546533,chr7,90185926,90188198,+,TEC,Gm45221
ENSMUSG00000072721,38.62564518,2.006892074,0.461733935,4.346425339,1.38E-05,0.000556826,chr6,130148798,130162569,-,transcribed_unprocessed_pseudogene,Klra14-ps
ENSMUSG00000103192,40.81329048,-1.92171781,0.443182112,-4.336180904,1.45E-05,0.000577988,chr1,80666008,80669564,-,TEC,Gm37645
ENSMUSG00000048277,162.7110603,1.300289227,0.300193332,4.331506025,1.48E-05,0.000588578,chr11,117809667,117814283,+,protein_coding,Syngr2
ENSMUSG00000067220,39.30658458,-1.985886575,0.459435538,-4.322448763,1.54E-05,0.000603954,chr5,72603695,72642752,-,protein_coding,Cnga1
ENSMUSG00000022604,359.4447186,-1.045334096,0.241818269,-4.322808609,1.54E-05,0.000603954,chr16,55899887,55934855,-,protein_coding,Cep97
ENSMUSG00000036800,35.97959064,1.985594652,0.459950152,4.316977928,1.58E-05,0.000617237,chr15,71431608,71727838,-,protein_coding,Fam135b
ENSMUSG00000104432,59.67226969,-1.7750677,0.412232567,-4.30598609,1.66E-05,0.000646742,chr9,72011375,72013019,-,TEC,A430027C01Rik
ENSMUSG00000002496,359.2578347,1.122993512,0.260987167,4.302868698,1.69E-05,0.000653937,chr17,24595815,24632630,-,protein_coding,Tsc2
ENSMUSG00000104350,237.7287878,-1.511356679,0.352383086,-4.288959202,1.80E-05,0.00069209,chr3,106478282,106480868,+,TEC,Gm38244
ENSMUSG00000109498,117.7854377,-1.49295425,0.349338275,-4.273663542,1.92E-05,0.000732568,chr7,90145947,90150254,+,TEC,Gm45222
ENSMUSG00000022901,31.58570976,-1.992142642,0.466569994,-4.2697616,1.96E-05,0.000743303,chr16,36603868,36666077,-,protein_coding,Cd86
ENSMUSG00000111293,148.3926865,-1.344262003,0.315229675,-4.264389146,2.00E-05,0.000759174,chr10,42861381,42864699,-,antisense,Gm34006
ENSMUSG00000073145,159.1004985,-1.455799761,0.341743126,-4.259924044,2.04E-05,0.000769971,chr11,11695132,11696439,-,antisense,Gm12000
ENSMUSG00000052928,51.85073981,1.808103142,0.424407627,4.260298417,2.04E-05,0.000769971,chr18,75431223,75697696,-,protein_coding,Ctif
ENSMUSG00000020027,24.29253886,1.993897595,0.468553038,4.255436273,2.09E-05,0.000781012,chr10,95411489,95417180,-,protein_coding,Socs2
ENSMUSG00000009772,43.60283936,1.890907753,0.44446863,4.254310939,2.10E-05,0.000782674,chr1,132316125,132333488,+,protein_coding,Nuak2
ENSMUSG00000112822,25.4245832,-1.986046548,0.46754906,-4.247782146,2.16E-05,0.000801184,chr10,115394749,115397884,+,TEC,A130012E19Rik
ENSMUSG00000001555,22.68355729,1.985894445,0.468109341,4.24237303,2.21E-05,0.000818388,chr11,100415696,100424824,+,protein_coding,Fkbp10
ENSMUSG00000018398,62.86554262,1.685952754,0.397639455,4.239903087,2.24E-05,0.000825074,chr11,53519256,53549565,+,protein_coding,8-Sep
ENSMUSG00000104388,195.0141896,-1.522454256,0.360094769,-4.227926617,2.36E-05,0.000865271,chr1,180357648,180364998,+,TEC,Gm37033
ENSMUSG00000014932,112.1894502,1.455140898,0.344697857,4.221496794,2.43E-05,0.000887801,chr5,32611170,32687057,+,protein_coding,Yes1
ENSMUSG00000104724,44.22545235,-1.829106809,0.433430188,-4.220072483,2.44E-05,0.000890898,chr3,138976311,138978081,-,TEC,Gm43162
ENSMUSG00000094694,25.4710873,1.963808803,0.466273985,4.211705703,2.53E-05,0.000921941,chr12,114583568,114584002,-,IG_V_gene,Ighv1-9
ENSMUSG00000108741,54.87662745,-1.756035148,0.417019395,-4.210919613,2.54E-05,0.000922549,chr7,73458596,73460633,-,TEC,Gm44553
ENSMUSG00000032578,50.53146073,1.919011683,0.455936306,4.208946854,2.57E-05,0.000925426,chr9,107296025,107302784,+,protein_coding,Cish
ENSMUSG00000102672,50.03607525,-1.772409264,0.422329136,-4.196748731,2.71E-05,0.000973175,chr9,72594922,72597007,+,TEC,Gm37105
ENSMUSG00000097233,32.95214381,-1.92174126,0.45796108,-4.196298209,2.71E-05,0.000973175,chr19,4169565,4174284,+,lincRNA,Gm17552
ENSMUSG00000107118,31.58966185,-1.929708861,0.460151172,-4.193641091,2.75E-05,0.00097649,chr5,129945579,129948964,+,TEC,Gm42986
ENSMUSG00000076609,1048.445211,1.87694722,0.447512542,4.194177918,2.74E-05,0.00097649,chr6,70726434,70726966,+,IG_C_gene,Igkc
ENSMUSG00000027663,289.3432514,1.319419115,0.314885204,4.19015914,2.79E-05,0.000988864,chr3,32334791,32365678,-,protein_coding,Zmat3
ENSMUSG00000020483,154.171228,1.413499377,0.339010743,4.169482555,3.05E-05,0.001071184,chr11,87979524,87987533,-,protein_coding,Dynll2
ENSMUSG00000097779,101.5258884,-1.570476868,0.378602402,-4.148090081,3.35E-05,0.001163652,chr19,53460630,53462723,+,lincRNA,4833407H14Rik
ENSMUSG00000103238,46.26881514,-1.791347243,0.432936664,-4.137665835,3.51E-05,0.001211256,chr1,151496556,151499585,-,TEC,Gm36527
ENSMUSG00000001089,275.4226188,1.098610466,0.265951604,4.130866097,3.61E-05,0.001240126,chr4,136469760,136554780,+,protein_coding,Luzp1
ENSMUSG00000055053,253.6794219,1.119300754,0.27124415,4.126543383,3.68E-05,0.001254508,chr10,81396185,81455635,-,protein_coding,Nfic
ENSMUSG00000097051,32.11194587,-1.87546774,0.455219143,-4.119922826,3.79E-05,0.001284309,chr11,75745071,75761195,-,lincRNA,Gm26836
ENSMUSG00000043439,116.6858269,1.387401363,0.337226212,4.114156351,3.89E-05,0.00131338,chr11,97627388,97629702,-,protein_coding,Epop
ENSMUSG00000037465,147.832187,1.327770801,0.322956971,4.111293209,3.93E-05,0.001326294,chr15,38291462,38300706,-,protein_coding,Klf10
ENSMUSG00000033880,803.1290303,1.014346028,0.247033597,4.106105566,4.02E-05,0.001349354,chr11,118392750,118402092,-,protein_coding,Lgals3bp
ENSMUSG00000112417,41.28663977,-1.848176269,0.45210939,-4.087896222,4.35E-05,0.001452175,chr10,122756437,122758410,-,TEC,A430028G04Rik
ENSMUSG00000040010,248.6269096,1.092377412,0.267438416,4.084594241,4.42E-05,0.001469173,chr8,121881149,121907694,-,protein_coding,Slc7a5
ENSMUSG00000101674,113.9289378,-1.454362737,0.357167036,-4.071939991,4.66E-05,0.001539402,chr1,54681728,54767524,+,antisense,4930444A19Rik
ENSMUSG00000076907,26.9075829,-1.886641044,0.463547438,-4.07000641,4.70E-05,0.001548265,chr14,54197247,54197307,+,TR_J_gene,Traj22
ENSMUSG00000029658,145.5297876,1.327823798,0.326534582,4.066410943,4.77E-05,0.001564333,chr5,149528678,149611894,+,protein_coding,Wdr95
ENSMUSG00000102503,63.81964488,-1.685387973,0.41457266,-4.06536209,4.80E-05,0.001567397,chr1,54737165,54738575,-,TEC,Gm37370
ENSMUSG00000015340,55.71241711,1.876289476,0.46209794,4.060371868,4.90E-05,0.001597225,chrX,9435251,9487771,-,protein_coding,Cybb
ENSMUSG00000021796,80.04882238,1.689057856,0.417028339,4.050223207,5.12E-05,0.001659699,chr14,34410733,34503341,-,protein_coding,Bmpr1a
ENSMUSG00000103525,45.28723492,-1.737518603,0.43017731,-4.039075427,5.37E-05,0.001723216,chr1,80326176,80327994,-,TEC,Gm37262
ENSMUSG00000039585,322.440555,-1.012380473,0.251489121,-4.02554381,5.68E-05,0.001811826,chr9,59750895,59928866,+,protein_coding,Myo9a
ENSMUSG00000047344,50.67082907,1.762933326,0.438788963,4.017724862,5.88E-05,0.001858165,chrX,9199901,9268085,+,protein_coding,Lancl3
ENSMUSG00000097352,158.4524083,-1.231114242,0.30645501,-4.017275622,5.89E-05,0.001858165,chr10,22306701,22321765,+,transcribed_unprocessed_pseudogene,C920009B18Rik
ENSMUSG00000104488,77.71837115,-1.610730858,0.403953639,-3.987415149,6.68E-05,0.002082678,chr1,80728808,80730664,-,TEC,Gm38062
ENSMUSG00000025175,30.03985817,1.831814494,0.459844663,3.983550619,6.79E-05,0.002111741,chr11,121434912,121450491,+,protein_coding,Fn3k
ENSMUSG00000105842,51.74909523,-1.6819969,0.423562889,-3.971067687,7.16E-05,0.0022049,chr3,105766965,105770197,-,sense_intronic,Gm43329
ENSMUSG00000005469,180.2181851,1.153485199,0.29074455,3.967349347,7.27E-05,0.002228225,chr8,83972992,83996443,+,protein_coding,Prkaca
ENSMUSG00000104509,15.83877317,-1.836763634,0.463063296,-3.966549822,7.29E-05,0.002230399,chr1,136576937,136579477,-,lincRNA,Gm33994
ENSMUSG00000021457,71.25496656,1.74805035,0.44104683,3.963412114,7.39E-05,0.002249246,chr13,52583172,52648792,+,protein_coding,Syk
ENSMUSG00000076480,42.9355718,-1.796637897,0.45368895,-3.960065363,7.49E-05,0.002264939,chr6,41271393,41271881,+,TR_V_gene,Trbv29
ENSMUSG00000103676,16.4681021,1.823754422,0.461340948,3.95315965,7.71E-05,0.002315037,chr1,170973372,170977746,+,antisense,Gm38204
ENSMUSG00000034591,19.99937272,1.850542141,0.469024048,3.945516546,7.96E-05,0.002379052,chr10,83230847,83337882,-,protein_coding,Slc41a2
ENSMUSG00000018925,134.0841876,1.285003326,0.326008245,3.941628305,8.09E-05,0.002412361,chr11,83511735,83522175,-,protein_coding,Heatr9
ENSMUSG00000059791,97.92459046,1.374572268,0.34925564,3.935719604,8.29E-05,0.002466786,chr17,35861317,35865402,+,protein_coding,Nrm
ENSMUSG00000075031,68.77521692,1.544392234,0.392488362,3.934873961,8.32E-05,0.002469784,chr13,23746733,23747241,+,protein_coding,Hist1h2bb
ENSMUSG00000029752,22.05665473,1.842798279,0.46846271,3.933713909,8.36E-05,0.002476035,chr6,7675168,7693254,-,protein_coding,Asns
ENSMUSG00000073102,51.36455379,-1.653647253,0.420595139,-3.931684174,8.44E-05,0.002491311,chr5,30281387,30366695,+,protein_coding,Drc1
ENSMUSG00000102496,55.42963964,-1.658642405,0.422186062,-3.92870005,8.54E-05,0.00251648,chr18,35574906,35577066,+,TEC,Gm36989
ENSMUSG00000103772,53.12900225,-1.636495385,0.417142874,-3.923105215,8.74E-05,0.002564106,chr1,180376443,180379514,+,TEC,Gm36933
ENSMUSG00000102721,127.4467755,-1.321270119,0.337084766,-3.91969692,8.87E-05,0.002591623,chr1,80747221,80749054,-,TEC,A630081D01Rik
ENSMUSG00000039652,37.51566938,1.740079369,0.444243335,3.916950986,8.97E-05,0.002611681,chr19,37021290,37208601,-,protein_coding,Cpeb3
ENSMUSG00000034903,271.5829667,1.050602479,0.26870753,3.909836385,9.24E-05,0.002666597,chr2,65088338,65239096,-,protein_coding,Cobll1
ENSMUSG00000040584,446.3751304,1.035337195,0.265378659,3.901358156,9.57E-05,0.002749426,chr5,8660076,8748575,+,protein_coding,Abcb1a
ENSMUSG00000109045,40.48834944,-1.721748767,0.441800582,-3.897117472,9.73E-05,0.002791768,chr7,118229400,118231357,-,TEC,Gm45084
ENSMUSG00000033730,58.02634117,-1.75647404,0.451057184,-3.894127179,9.86E-05,0.002820147,chr14,70077202,70082550,+,protein_coding,Egr3
ENSMUSG00000025969,314.2067428,1.224118529,0.31453158,3.891877976,9.95E-05,0.002840114,chr1,62703284,62818695,+,protein_coding,Nrp2
ENSMUSG00000028337,223.7573698,1.070581935,0.275497727,3.885991894,0.000101913,0.002896981,chr4,46536936,46602202,-,protein_coding,Coro2a
ENSMUSG00000046841,29.66814206,1.790223326,0.460862108,3.884509697,0.000102537,0.002901898,chr10,84526304,84534062,-,protein_coding,Ckap4
ENSMUSG00000009293,260.8243893,1.050514096,0.270589189,3.88232102,0.000103464,0.002920631,chr10,77622274,77645993,+,protein_coding,Ube2g2
ENSMUSG00000090069,54.88250463,-1.753898178,0.451816713,-3.881879815,0.000103652,0.002920631,chr17,7881105,7946426,-,antisense,E430024P14Rik
ENSMUSG00000040016,14.69129226,1.78789993,0.460719885,3.880665859,0.000104171,0.002922458,chr3,157566891,157645888,+,protein_coding,Ptger3
ENSMUSG00000113140,21.94320735,-1.816431428,0.468636956,-3.875988451,0.000106193,0.002972704,chr13,17754515,17757325,-,TEC,Gm48624
ENSMUSG00000022280,207.1310332,-1.165299897,0.30105447,-3.870727765,0.000108511,0.003031009,chr15,36239932,36283147,-,protein_coding,Rnf19a
ENSMUSG00000087177,128.232836,-1.327728598,0.343306393,-3.867474146,0.000109968,0.003065074,chr10,39621411,39732007,-,antisense,E130307A14Rik
ENSMUSG00000042759,209.2449704,1.061982674,0.27603635,3.847256615,0.000119448,0.003286602,chr7,126584941,126589112,+,protein_coding,Apobr
ENSMUSG00000045231,19.27855381,-1.796797694,0.468719047,-3.833421549,0.000126373,0.003447684,chr16,23220655,23225368,-,protein_coding,BC106179
ENSMUSG00000039959,98.41232178,1.358834618,0.35475399,3.83035753,0.000127957,0.003476171,chr5,135406530,135545115,-,protein_coding,Hip1
ENSMUSG00000109652,71.48097314,-1.471907619,0.385253025,-3.820625725,0.000133114,0.003593507,chr8,22873588,22876190,+,TEC,Gm45555
ENSMUSG00000111333,28.12277104,-1.767822629,0.463080344,-3.817528972,0.000134795,0.003623705,chr10,42886891,42887465,+,processed_pseudogene,Gm48670
ENSMUSG00000038037,224.9930153,1.099517731,0.288169693,3.815521757,0.000135895,0.003645219,chr16,10782239,10785536,-,protein_coding,Socs1
ENSMUSG00000050014,20.88340103,1.787991323,0.468738078,3.814478502,0.000136471,0.003645923,chr15,77583818,77596125,-,protein_coding,Apol10b
ENSMUSG00000093861,21.65100272,1.785570217,0.468886844,3.808104745,0.000140036,0.003710377,chr6,68270484,68271267,+,IG_V_gene,Igkv1-110
ENSMUSG00000022389,163.8960158,1.161358532,0.305415916,3.802547508,0.000143216,0.003775782,chr15,81802420,81826863,+,protein_coding,Tef
ENSMUSG00000028782,26.95249287,-1.766608619,0.465078009,-3.798521076,0.000145562,0.003825311,chr4,129984869,130022633,+,protein_coding,Adgrb2
ENSMUSG00000020376,224.2980751,1.10588358,0.291451626,3.794398391,0.000148002,0.003881507,chr11,50025345,50104758,+,protein_coding,Rnf130
ENSMUSG00000102780,56.18684224,-1.562747479,0.412118454,-3.791986173,0.000149447,0.003911447,chr3,106725598,106730276,+,TEC,Gm38253
ENSMUSG00000033024,53.54454114,1.603819685,0.423019746,3.791358914,0.000149825,0.003913387,chr6,130178674,130193112,-,protein_coding,Klra9
ENSMUSG00000020649,42.2590536,1.704616595,0.450102763,3.787172028,0.000152372,0.003955825,chr12,24708240,24714146,+,protein_coding,Rrm2
ENSMUSG00000035236,256.1610537,-1.222231995,0.323878799,-3.773732635,0.000160823,0.004117136,chr2,39066213,39190734,-,protein_coding,Scai
ENSMUSG00000089829,48.54228002,-1.599275168,0.424634742,-3.766237214,0.000165726,0.004217506,chr1,165781074,165789367,+,processed_transcript,Gm16565
ENSMUSG00000026765,87.00773026,-1.369778498,0.363939784,-3.763750372,0.000167384,0.004218011,chr2,49787687,49948849,+,protein_coding,Lypd6b
ENSMUSG00000105677,55.31875379,-1.559782939,0.414300208,-3.764861587,0.000166641,0.004218011,chr3,105732443,105733877,-,sense_intronic,Gm43328
