initial_alias,converted_alias,name,description,namespace
ENSMUSG00000056144,ENSMUSG00000056144,Trim34a,tripartite motif-containing 34A [Source:MGI Symbol;Acc:MGI:2137359],"ARRAYEXPRESS,ENSG"
ENSMUSG00000051839,ENSMUSG00000051839,Gypa,glycophorin A [Source:MGI Symbol;Acc:MGI:95880],"ARRAYEXPRESS,ENSG"
ENSMUSG00000051278,ENSMUSG00000051278,Zgrf1,"zinc finger, GRF-type containing 1 [Source:MGI Symbol;Acc:MGI:1918893]","ARRAYEXPRESS,ENSG"
ENSMUSG00000031628,ENSMUSG00000031628,Casp3,caspase 3 [Source:MGI Symbol;Acc:MGI:107739],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102642,ENSMUSG00000102642,A130048G24Rik,RIKEN cDNA A130048G24 gene [Source:MGI Symbol;Acc:MGI:2443520],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102992,ENSMUSG00000102992,Gm37766,"predicted gene, 37766 [Source:MGI Symbol;Acc:MGI:5610994]","ARRAYEXPRESS,ENSG"
ENSMUSG00000104488,ENSMUSG00000104488,Gm38062,"predicted gene, 38062 [Source:MGI Symbol;Acc:MGI:5611290]","ARRAYEXPRESS,ENSG"
ENSMUSG00000054206,ENSMUSG00000054206,Gzmm,granzyme M (lymphocyte met-ase 1) [Source:MGI Symbol;Acc:MGI:99549],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026826,ENSMUSG00000026826,Nr4a2,"nuclear receptor subfamily 4, group A, member 2 [Source:MGI Symbol;Acc:MGI:1352456]","ARRAYEXPRESS,ENSG"
ENSMUSG00000076612,ENSMUSG00000076612,Ighg2c,immunoglobulin heavy constant gamma 2C [Source:MGI Symbol;Acc:MGI:2686979],"ARRAYEXPRESS,ENSG"
ENSMUSG00000107118,ENSMUSG00000107118,Gm42986,predicted gene 42986 [Source:MGI Symbol;Acc:MGI:5663123],"ARRAYEXPRESS,ENSG"
ENSMUSG00000069267,ENSMUSG00000069267,H3c2,H3 clustered histone 2 [Source:MGI Symbol;Acc:MGI:2448319],"ARRAYEXPRESS,ENSG"
ENSMUSG00000076480,ENSMUSG00000076480,Trbv29,"T cell receptor beta, variable 29 [Source:MGI Symbol;Acc:MGI:98605]","ARRAYEXPRESS,ENSG"
ENSMUSG00000114761,ENSMUSG00000114761,Gm47242,"predicted gene, 47242 [Source:MGI Symbol;Acc:MGI:6096064]","ARRAYEXPRESS,ENSG"
ENSMUSG00000110928,ENSMUSG00000110928,Gm48114,"predicted gene, 48114 [Source:MGI Symbol;Acc:MGI:6097467]","ARRAYEXPRESS,ENSG"
ENSMUSG00000033965,ENSMUSG00000033965,Slc16a2,"solute carrier family 16 (monocarboxylic acid transporters), member 2 [Source:MGI Symbol;Acc:MGI:1203732]","ARRAYEXPRESS,ENSG"
ENSMUSG00000092819,ENSMUSG00000092819,Gm23639,"predicted gene, 23639 [Source:MGI Symbol;Acc:MGI:5453416]","ARRAYEXPRESS,ENSG"
ENSMUSG00000026879,ENSMUSG00000026879,Gsn,gelsolin [Source:MGI Symbol;Acc:MGI:95851],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097705,ENSMUSG00000097705,Gm26740,"predicted gene, 26740 [Source:MGI Symbol;Acc:MGI:5477234]","ARRAYEXPRESS,ENSG"
ENSMUSG00000021573,ENSMUSG00000021573,Tppp,tubulin polymerization promoting protein [Source:MGI Symbol;Acc:MGI:1920198],"ARRAYEXPRESS,ENSG"
ENSMUSG00000077709,ENSMUSG00000077709,Snora64,"small nucleolar RNA, H/ACA box 64 [Source:MGI Symbol;Acc:MGI:2148175]","ARRAYEXPRESS,ENSG"
ENSMUSG00000113140,ENSMUSG00000113140,Gm48624,"predicted gene, 48624 [Source:MGI Symbol;Acc:MGI:6098222]","ARRAYEXPRESS,ENSG"
ENSMUSG00000091144,ENSMUSG00000091144,Phf11c,PHD finger protein 11C [Source:MGI Symbol;Acc:MGI:3648476],"ARRAYEXPRESS,ENSG"
ENSMUSG00000071547,ENSMUSG00000071547,Nt5dc2,5'-nucleotidase domain containing 2 [Source:MGI Symbol;Acc:MGI:1917271],"ARRAYEXPRESS,ENSG"
ENSMUSG00000052928,ENSMUSG00000052928,Ctif,CBP80/20-dependent translation initiation factor [Source:MGI Symbol;Acc:MGI:2685518],"ARRAYEXPRESS,ENSG"
ENSMUSG00000031618,ENSMUSG00000031618,Nr3c2,"nuclear receptor subfamily 3, group C, member 2 [Source:MGI Symbol;Acc:MGI:99459]","ARRAYEXPRESS,ENSG"
ENSMUSG00000034459,ENSMUSG00000034459,Ifit1,interferon-induced protein with tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:99450],"ARRAYEXPRESS,ENSG"
ENSMUSG00000051910,ENSMUSG00000051910,Sox6,SRY (sex determining region Y)-box 6 [Source:MGI Symbol;Acc:MGI:98368],"ARRAYEXPRESS,ENSG"
ENSMUSG00000003559,ENSMUSG00000003559,As3mt,arsenite methyltransferase [Source:MGI Symbol;Acc:MGI:1929882],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025278,ENSMUSG00000025278,Flnb,"filamin, beta [Source:MGI Symbol;Acc:MGI:2446089]","ARRAYEXPRESS,ENSG"
ENSMUSG00000045038,ENSMUSG00000045038,Prkce,"protein kinase C, epsilon [Source:MGI Symbol;Acc:MGI:97599]","ARRAYEXPRESS,ENSG"
ENSMUSG00000032601,ENSMUSG00000032601,Prkar2a,"protein kinase, cAMP dependent regulatory, type II alpha [Source:MGI Symbol;Acc:MGI:108025]","ARRAYEXPRESS,ENSG"
ENSMUSG00000041757,ENSMUSG00000041757,Plekha6,"pleckstrin homology domain containing, family A member 6 [Source:MGI Symbol;Acc:MGI:2388662]","ARRAYEXPRESS,ENSG"
ENSMUSG00000027715,ENSMUSG00000027715,Ccna2,cyclin A2 [Source:MGI Symbol;Acc:MGI:108069],"ARRAYEXPRESS,ENSG"
ENSMUSG00000034612,ENSMUSG00000034612,Chst11,carbohydrate sulfotransferase 11 [Source:MGI Symbol;Acc:MGI:1927166],"ARRAYEXPRESS,ENSG"
ENSMUSG00000021756,ENSMUSG00000021756,Il6st,interleukin 6 signal transducer [Source:MGI Symbol;Acc:MGI:96560],"ARRAYEXPRESS,ENSG"
ENSMUSG00000054072,ENSMUSG00000054072,Iigp1,interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259],"ARRAYEXPRESS,ENSG"
ENSMUSG00000065259,ENSMUSG00000065259,Snora30,"small nucleolar RNA, H/ACA box 30 [Source:MGI Symbol;Acc:MGI:3819499]","ARRAYEXPRESS,ENSG"
ENSMUSG00000056145,ENSMUSG00000056145,AI504432,expressed sequence AI504432 [Source:MGI Symbol;Acc:MGI:2139742],"ARRAYEXPRESS,ENSG"
ENSMUSG00000024277,ENSMUSG00000024277,Mapre2,"microtubule-associated protein, RP/EB family, member 2 [Source:MGI Symbol;Acc:MGI:106271]","ARRAYEXPRESS,ENSG"
ENSMUSG00000108129,ENSMUSG00000108129,4930417O13Rik,RIKEN cDNA 4930417O13 gene [Source:MGI Symbol;Acc:MGI:1921120],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027469,ENSMUSG00000027469,Tpx2,"TPX2, microtubule-associated [Source:MGI Symbol;Acc:MGI:1919369]","ARRAYEXPRESS,ENSG"
ENSMUSG00000031137,ENSMUSG00000031137,Fgf13,fibroblast growth factor 13 [Source:MGI Symbol;Acc:MGI:109178],"ARRAYEXPRESS,ENSG"
ENSMUSG00000076922,ENSMUSG00000076922,Traj6,T cell receptor alpha joining 6 [Source:MGI Symbol;Acc:MGI:4439844],"ARRAYEXPRESS,ENSG"
ENSMUSG00000063810,ENSMUSG00000063810,Alms1,"ALMS1, centrosome and basal body associated [Source:MGI Symbol;Acc:MGI:1934606]","ARRAYEXPRESS,ENSG"
ENSMUSG00000064751,ENSMUSG00000064751,Gm26330,"predicted gene, 26330 [Source:MGI Symbol;Acc:MGI:5456107]","ARRAYEXPRESS,ENSG"
ENSMUSG00000022034,ENSMUSG00000022034,Esco2,establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919238],"ARRAYEXPRESS,ENSG"
ENSMUSG00000021714,ENSMUSG00000021714,Cenpk,centromere protein K [Source:MGI Symbol;Acc:MGI:1926210],"ARRAYEXPRESS,ENSG"
ENSMUSG00000015143,ENSMUSG00000015143,Actn1,"actinin, alpha 1 [Source:MGI Symbol;Acc:MGI:2137706]","ARRAYEXPRESS,ENSG"
ENSMUSG00000105986,ENSMUSG00000105986,Gm43065,predicted gene 43065 [Source:MGI Symbol;Acc:MGI:5663202],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028042,ENSMUSG00000028042,Zbtb7b,zinc finger and BTB domain containing 7B [Source:MGI Symbol;Acc:MGI:102755],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102939,ENSMUSG00000102939,Gm38111,"predicted gene, 38111 [Source:MGI Symbol;Acc:MGI:5611339]","ARRAYEXPRESS,ENSG"
ENSMUSG00000024130,ENSMUSG00000024130,Abca3,"ATP-binding cassette, sub-family A (ABC1), member 3 [Source:MGI Symbol;Acc:MGI:1351617]","ARRAYEXPRESS,ENSG"
ENSMUSG00000042121,ENSMUSG00000042121,Ssh1,slingshot protein phosphatase 1 [Source:MGI Symbol;Acc:MGI:2686240],"ARRAYEXPRESS,ENSG"
ENSMUSG00000060586,ENSMUSG00000060586,H2-Eb1,"histocompatibility 2, class II antigen E beta [Source:MGI Symbol;Acc:MGI:95901]","ARRAYEXPRESS,ENSG"
ENSMUSG00000021217,ENSMUSG00000021217,Tshz3,teashirt zinc finger family member 3 [Source:MGI Symbol;Acc:MGI:2442819],"ARRAYEXPRESS,ENSG"
ENSMUSG00000077167,ENSMUSG00000077167,Gm24119,"predicted gene, 24119 [Source:MGI Symbol;Acc:MGI:5453896]","ARRAYEXPRESS,ENSG"
ENSMUSG00000112417,ENSMUSG00000112417,A430028G04Rik,RIKEN cDNA A430028G04 gene [Source:MGI Symbol;Acc:MGI:2444187],"ARRAYEXPRESS,ENSG"
ENSMUSG00000049044,ENSMUSG00000049044,Rapgef4,Rap guanine nucleotide exchange factor (GEF) 4 [Source:MGI Symbol;Acc:MGI:1917723],"ARRAYEXPRESS,ENSG"
ENSMUSG00000031262,ENSMUSG00000031262,Cenpi,centromere protein I [Source:MGI Symbol;Acc:MGI:2147897],"ARRAYEXPRESS,ENSG"
ENSMUSG00000021678,ENSMUSG00000021678,F2rl1,coagulation factor II (thrombin) receptor-like 1 [Source:MGI Symbol;Acc:MGI:101910],"ARRAYEXPRESS,ENSG"
ENSMUSG00000040694,ENSMUSG00000040694,Apobec2,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2 [Source:MGI Symbol;Acc:MGI:1343178]","ARRAYEXPRESS,ENSG"
ENSMUSG00000027346,ENSMUSG00000027346,Gpcpd1,glycerophosphocholine phosphodiesterase 1 [Source:MGI Symbol;Acc:MGI:104898],"ARRAYEXPRESS,ENSG"
ENSMUSG00000099757,ENSMUSG00000099757,BE692007,expressed sequence BE692007 [Source:MGI Symbol;Acc:MGI:3035348],"ARRAYEXPRESS,ENSG"
ENSMUSG00000036168,ENSMUSG00000036168,Ccdc38,coiled-coil domain containing 38 [Source:MGI Symbol;Acc:MGI:2444738],"ARRAYEXPRESS,ENSG"
ENSMUSG00000050179,ENSMUSG00000050179,A930002I21Rik,RIKEN cDNA A930002I21 gene [Source:MGI Symbol;Acc:MGI:1924480],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104340,ENSMUSG00000104340,Gm10522,predicted gene 10522 [Source:MGI Symbol;Acc:MGI:3642357],"ARRAYEXPRESS,ENSG"
ENSMUSG00000030930,ENSMUSG00000030930,Chst15,carbohydrate sulfotransferase 15 [Source:MGI Symbol;Acc:MGI:1924840],"ARRAYEXPRESS,ENSG"
ENSMUSG00000089809,ENSMUSG00000089809,Rasgef1b,"RasGEF domain family, member 1B [Source:MGI Symbol;Acc:MGI:2443755]","ARRAYEXPRESS,ENSG"
ENSMUSG00000105677,ENSMUSG00000105677,Gm43328,predicted gene 43328 [Source:MGI Symbol;Acc:MGI:5663465],"ARRAYEXPRESS,ENSG"
ENSMUSG00000006800,ENSMUSG00000006800,Sulf2,sulfatase 2 [Source:MGI Symbol;Acc:MGI:1919293],"ARRAYEXPRESS,ENSG"
ENSMUSG00000038780,ENSMUSG00000038780,Smurf1,SMAD specific E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:1923038],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046410,ENSMUSG00000046410,Kcnk6,"potassium inwardly-rectifying channel, subfamily K, member 6 [Source:MGI Symbol;Acc:MGI:1891291]","ARRAYEXPRESS,ENSG"
ENSMUSG00000057219,ENSMUSG00000057219,Armc7,armadillo repeat containing 7 [Source:MGI Symbol;Acc:MGI:2679719],"ARRAYEXPRESS,ENSG"
ENSMUSG00000020641,ENSMUSG00000020641,Rsad2,radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628],"ARRAYEXPRESS,ENSG"
ENSMUSG00000022607,ENSMUSG00000022607,Ptk2,PTK2 protein tyrosine kinase 2 [Source:MGI Symbol;Acc:MGI:95481],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103238,ENSMUSG00000103238,Gm36527,"predicted gene, 36527 [Source:MGI Symbol;Acc:MGI:5595686]","ARRAYEXPRESS,ENSG"
ENSMUSG00000101972,ENSMUSG00000101972,H3c11,H3 clustered histone 11 [Source:MGI Symbol;Acc:MGI:2448350],"ARRAYEXPRESS,ENSG"
ENSMUSG00000039396,ENSMUSG00000039396,Neil3,nei like 3 (E. coli) [Source:MGI Symbol;Acc:MGI:2384588],"ARRAYEXPRESS,ENSG"
ENSMUSG00000034206,ENSMUSG00000034206,Polq,"polymerase (DNA directed), theta [Source:MGI Symbol;Acc:MGI:2155399]","ARRAYEXPRESS,ENSG"
ENSMUSG00000045777,ENSMUSG00000045777,Ifitm10,interferon induced transmembrane protein 10 [Source:MGI Symbol;Acc:MGI:2444776],"ARRAYEXPRESS,ENSG"
ENSMUSG00000087963,ENSMUSG00000087963,Gm25394,"predicted gene, 25394 [Source:MGI Symbol;Acc:MGI:5455171]","ARRAYEXPRESS,ENSG"
ENSMUSG00000039046,ENSMUSG00000039046,Usp6nl,USP6 N-terminal like [Source:MGI Symbol;Acc:MGI:2138893],"ARRAYEXPRESS,ENSG"
ENSMUSG00000030523,ENSMUSG00000030523,Trpm1,"transient receptor potential cation channel, subfamily M, member 1 [Source:MGI Symbol;Acc:MGI:1330305]","ARRAYEXPRESS,ENSG"
ENSMUSG00000031162,ENSMUSG00000031162,Gata1,GATA binding protein 1 [Source:MGI Symbol;Acc:MGI:95661],"ARRAYEXPRESS,ENSG"
ENSMUSG00000045659,ENSMUSG00000045659,Plekha7,"pleckstrin homology domain containing, family A member 7 [Source:MGI Symbol;Acc:MGI:2445094]","ARRAYEXPRESS,ENSG"
ENSMUSG00000097295,ENSMUSG00000097295,Hmgb1-ps8,"high mobility group box 1, pseudogene 8 [Source:MGI Symbol;Acc:MGI:96114]","ARRAYEXPRESS,ENSG"
ENSMUSG00000015880,ENSMUSG00000015880,Ncapg,"non-SMC condensin I complex, subunit G [Source:MGI Symbol;Acc:MGI:1930197]","ARRAYEXPRESS,ENSG"
ENSMUSG00000103591,ENSMUSG00000103591,Gm38365,"predicted gene, 38365 [Source:MGI Symbol;Acc:MGI:5611593]","ARRAYEXPRESS,ENSG"
ENSMUSG00000071203,ENSMUSG00000071203,Naip5,"NLR family, apoptosis inhibitory protein 5 [Source:MGI Symbol;Acc:MGI:1298220]","ARRAYEXPRESS,ENSG"
ENSMUSG00000065687,ENSMUSG00000065687,Gm23734,"predicted gene, 23734 [Source:MGI Symbol;Acc:MGI:5453511]","ARRAYEXPRESS,ENSG"
ENSMUSG00000109408,ENSMUSG00000109408,A930037H05Rik,RIKEN cDNA A930037H05 gene [Source:MGI Symbol;Acc:MGI:1925689],"ARRAYEXPRESS,ENSG"
ENSMUSG00000100426,ENSMUSG00000100426,Gm4208,predicted gene 4208 [Source:MGI Symbol;Acc:MGI:3782384],"ARRAYEXPRESS,ENSG"
ENSMUSG00000005225,ENSMUSG00000005225,Plekha8,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8 [Source:MGI Symbol;Acc:MGI:2681164]","ARRAYEXPRESS,ENSG"
ENSMUSG00000030789,ENSMUSG00000030789,Itgax,integrin alpha X [Source:MGI Symbol;Acc:MGI:96609],"ARRAYEXPRESS,ENSG"
ENSMUSG00000034586,ENSMUSG00000034586,Hid1,HID1 domain containing [Source:MGI Symbol;Acc:MGI:2445087],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103094,ENSMUSG00000103094,Gm37558,"predicted gene, 37558 [Source:MGI Symbol;Acc:MGI:5610786]","ARRAYEXPRESS,ENSG"
ENSMUSG00000021362,ENSMUSG00000021362,Gcm2,glial cells missing homolog 2 [Source:MGI Symbol;Acc:MGI:1861438],"ARRAYEXPRESS,ENSG"
ENSMUSG00000009293,ENSMUSG00000009293,Ube2g2,ubiquitin-conjugating enzyme E2G 2 [Source:MGI Symbol;Acc:MGI:1343188],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026932,ENSMUSG00000026932,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing [Source:MGI Symbol;Acc:MGI:1915241]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102503,ENSMUSG00000102503,Gm37370,"predicted gene, 37370 [Source:MGI Symbol;Acc:MGI:5610598]","ARRAYEXPRESS,ENSG"
ENSMUSG00000097108,ENSMUSG00000097108,Gm26581,"predicted gene, 26581 [Source:MGI Symbol;Acc:MGI:5477075]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028134,ENSMUSG00000028134,Ptbp2,polypyrimidine tract binding protein 2 [Source:MGI Symbol;Acc:MGI:1860489],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046169,ENSMUSG00000046169,Adamts6,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6 [Source:MGI Symbol;Acc:MGI:1347348]","ARRAYEXPRESS,ENSG"
ENSMUSG00000036800,ENSMUSG00000036800,Fam135b,"family with sequence similarity 135, member B [Source:MGI Symbol;Acc:MGI:1917613]","ARRAYEXPRESS,ENSG"
ENSMUSG00000081219,ENSMUSG00000081219,Bambi-ps1,"BMP and activin membrane-bound inhibitor, pseudogene (Xenopus laevis) [Source:MGI Symbol;Acc:MGI:1932402]","ARRAYEXPRESS,ENSG"
ENSMUSG00000022263,ENSMUSG00000022263,Trio,triple functional domain (PTPRF interacting) [Source:MGI Symbol;Acc:MGI:1927230],"ARRAYEXPRESS,ENSG"
ENSMUSG00000034659,ENSMUSG00000034659,Tmem109,transmembrane protein 109 [Source:MGI Symbol;Acc:MGI:1915789],"ARRAYEXPRESS,ENSG"
ENSMUSG00000048852,ENSMUSG00000048852,Gm12185,predicted gene 12185 [Source:MGI Symbol;Acc:MGI:3652173],"ARRAYEXPRESS,ENSG"
ENSMUSG00000021782,ENSMUSG00000021782,Dlg5,discs large MAGUK scaffold protein 5 [Source:MGI Symbol;Acc:MGI:1918478],"ARRAYEXPRESS,ENSG"
ENSMUSG00000094694,ENSMUSG00000094694,Ighv1-9,immunoglobulin heavy variable V1-9 [Source:MGI Symbol;Acc:MGI:4439621],"ARRAYEXPRESS,ENSG"
ENSMUSG00000095574,ENSMUSG00000095574,Trbv12-1,"T cell receptor beta, variable 12-1 [Source:MGI Symbol;Acc:MGI:98602]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102973,ENSMUSG00000102973,E430014B02Rik,RIKEN cDNA E430014B02 gene [Source:MGI Symbol;Acc:MGI:2445017],"ARRAYEXPRESS,ENSG"
ENSMUSG00000114279,ENSMUSG00000114279,H2bc14,H2B clustered histone 14 [Source:MGI Symbol;Acc:MGI:2448404],"ARRAYEXPRESS,ENSG"
ENSMUSG00000109045,ENSMUSG00000109045,Gm45084,predicted gene 45084 [Source:MGI Symbol;Acc:MGI:5753660],"ARRAYEXPRESS,ENSG"
ENSMUSG00000017499,ENSMUSG00000017499,Cdc6,cell division cycle 6 [Source:MGI Symbol;Acc:MGI:1345150],"ARRAYEXPRESS,ENSG"
ENSMUSG00000024187,ENSMUSG00000024187,Fam234a,"family with sequence similarity 234, member A [Source:MGI Symbol;Acc:MGI:2146854]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025001,ENSMUSG00000025001,Hells,"helicase, lymphoid specific [Source:MGI Symbol;Acc:MGI:106209]","ARRAYEXPRESS,ENSG"
ENSMUSG00000042029,ENSMUSG00000042029,Ncapg2,"non-SMC condensin II complex, subunit G2 [Source:MGI Symbol;Acc:MGI:1923294]","ARRAYEXPRESS,ENSG"
ENSMUSG00000055322,ENSMUSG00000055322,Tns1,tensin 1 [Source:MGI Symbol;Acc:MGI:104552],"ARRAYEXPRESS,ENSG"
ENSMUSG00000038871,ENSMUSG00000038871,Bpgm,"2,3-bisphosphoglycerate mutase [Source:MGI Symbol;Acc:MGI:1098242]","ARRAYEXPRESS,ENSG"
ENSMUSG00000067220,ENSMUSG00000067220,Cnga1,cyclic nucleotide gated channel alpha 1 [Source:MGI Symbol;Acc:MGI:88436],"ARRAYEXPRESS,ENSG"
ENSMUSG00000038776,ENSMUSG00000038776,Ephx1,"epoxide hydrolase 1, microsomal [Source:MGI Symbol;Acc:MGI:95405]","ARRAYEXPRESS,ENSG"
ENSMUSG00000096606,ENSMUSG00000096606,Tpbgl,trophoblast glycoprotein-like [Source:MGI Symbol;Acc:MGI:3646425],"ARRAYEXPRESS,ENSG"
ENSMUSG00000030867,ENSMUSG00000030867,Plk1,polo like kinase 1 [Source:MGI Symbol;Acc:MGI:97621],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097352,ENSMUSG00000097352,C920009B18Rik,RIKEN cDNA  C920009B18 gene [Source:MGI Symbol;Acc:MGI:3583961],"ARRAYEXPRESS,ENSG"
ENSMUSG00000114253,ENSMUSG00000114253,Gm47798,"predicted gene, 47798 [Source:MGI Symbol;Acc:MGI:6096974]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102744,ENSMUSG00000102744,5830444F18Rik,RIKEN cDNA 5830444F18 gene [Source:MGI Symbol;Acc:MGI:2444780],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102151,ENSMUSG00000102151,Gm37472,"predicted gene, 37472 [Source:MGI Symbol;Acc:MGI:5610700]","ARRAYEXPRESS,ENSG"
ENSMUSG00000089255,ENSMUSG00000089255,Snora78,"small nucleolar RNA, H/ACA box 7 [Source:MGI Symbol;Acc:MGI:4360056]","ARRAYEXPRESS,ENSG"
ENSMUSG00000112881,ENSMUSG00000112881,Gm49344,"predicted gene, 49344 [Source:MGI Symbol;Acc:MGI:6121539]","ARRAYEXPRESS,ENSG"
ENSMUSG00000109279,ENSMUSG00000109279,Gm45220,predicted gene 45220 [Source:MGI Symbol;Acc:MGI:5753796],"ARRAYEXPRESS,ENSG"
ENSMUSG00000111086,ENSMUSG00000111086,Gm48671,"predicted gene, 48671 [Source:MGI Symbol;Acc:MGI:6098289]","ARRAYEXPRESS,ENSG"
ENSMUSG00000065899,ENSMUSG00000065899,Gm24523,"predicted gene, 24523 [Source:MGI Symbol;Acc:MGI:5454300]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102844,ENSMUSG00000102844,Gm38034,"predicted gene, 38034 [Source:MGI Symbol;Acc:MGI:5611262]","ARRAYEXPRESS,ENSG"
ENSMUSG00000065126,ENSMUSG00000065126,Snord104,"small nucleolar RNA, C/D box 104 [Source:MGI Symbol;Acc:MGI:3819515]","ARRAYEXPRESS,ENSG"
ENSMUSG00000030352,ENSMUSG00000030352,Tspan9,tetraspanin 9 [Source:MGI Symbol;Acc:MGI:1924558],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037572,ENSMUSG00000037572,Wdhd1,WD repeat and HMG-box DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:2443514],"ARRAYEXPRESS,ENSG"
ENSMUSG00000069516,ENSMUSG00000069516,Lyz2,lysozyme 2 [Source:MGI Symbol;Acc:MGI:96897],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097233,ENSMUSG00000097233,Gm17552,"predicted gene, 17552 [Source:MGI Symbol;Acc:MGI:4937186]","ARRAYEXPRESS,ENSG"
ENSMUSG00000112822,ENSMUSG00000112822,A130012E19Rik,RIKEN cDNA A130012E19 gene [Source:MGI Symbol;Acc:MGI:2443640],"ARRAYEXPRESS,ENSG"
ENSMUSG00000065124,ENSMUSG00000065124,Snora65,"small nucleolar RNA, H/ACA box 65 [Source:MGI Symbol;Acc:MGI:2148176]","ARRAYEXPRESS,ENSG"
ENSMUSG00000031461,ENSMUSG00000031461,Myom2,myomesin 2 [Source:MGI Symbol;Acc:MGI:1328358],"ARRAYEXPRESS,ENSG"
ENSMUSG00000072721,ENSMUSG00000072721,Klra14-ps,"killer cell lectin-like receptor subfamily A, member 14, pseudogene [Source:MGI Symbol;Acc:MGI:1321089]","ARRAYEXPRESS,ENSG"
ENSMUSG00000065304,ENSMUSG00000065304,Gm23245,"predicted gene, 23245 [Source:MGI Symbol;Acc:MGI:5453022]","ARRAYEXPRESS,ENSG"
ENSMUSG00000037788,ENSMUSG00000037788,Vopp1,"vesicular, overexpressed in cancer, prosurvival protein 1 [Source:MGI Symbol;Acc:MGI:2141658]","ARRAYEXPRESS,ENSG"
ENSMUSG00000029135,ENSMUSG00000029135,Fosl2,fos-like antigen 2 [Source:MGI Symbol;Acc:MGI:102858],"ARRAYEXPRESS,ENSG"
ENSMUSG00000013236,ENSMUSG00000013236,Ptprs,"protein tyrosine phosphatase, receptor type, S [Source:MGI Symbol;Acc:MGI:97815]","ARRAYEXPRESS,ENSG"
ENSMUSG00000113326,ENSMUSG00000113326,Gm47586,"predicted gene, 47586 [Source:MGI Symbol;Acc:MGI:6096627]","ARRAYEXPRESS,ENSG"
ENSMUSG00000048120,ENSMUSG00000048120,Entpd1,ectonucleoside triphosphate diphosphohydrolase 1 [Source:MGI Symbol;Acc:MGI:102805],"ARRAYEXPRESS,ENSG"
ENSMUSG00000038352,ENSMUSG00000038352,Arl5c,ADP-ribosylation factor-like 5C [Source:MGI Symbol;Acc:MGI:3028577],"ARRAYEXPRESS,ENSG"
ENSMUSG00000107586,ENSMUSG00000107586,Gm44283,"predicted gene, 44283 [Source:MGI Symbol;Acc:MGI:5690675]","ARRAYEXPRESS,ENSG"
ENSMUSG00000030847,ENSMUSG00000030847,Bag3,BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104432,ENSMUSG00000104432,A430027C01Rik,RIKEN cDNA A430027C01 gene [Source:MGI Symbol;Acc:MGI:2143417],"ARRAYEXPRESS,ENSG"
ENSMUSG00000116433,ENSMUSG00000116433,Gm49553,"predicted gene, 49553 [Source:MGI Symbol;Acc:MGI:6155262]","ARRAYEXPRESS,ENSG"
ENSMUSG00000070167,ENSMUSG00000070167,Snora57,"small nucleolar RNA, H/ACA box 57 [Source:MGI Symbol;Acc:MGI:5455599]","ARRAYEXPRESS,ENSG"
ENSMUSG00000043439,ENSMUSG00000043439,Epop,elongin BC and polycomb repressive complex 2 associated protein [Source:MGI Symbol;Acc:MGI:2143991],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037979,ENSMUSG00000037979,Ccdc92,coiled-coil domain containing 92 [Source:MGI Symbol;Acc:MGI:106485],"ARRAYEXPRESS,ENSG"
